area_associata,Year,frequency_PM10,exposure_PM10,intensity_PM10
ABBIATEGRASSO,2014,45,1.668,75.047
ALBAIRATE,2014,45,1.682,75.683
ARCONATE,2014,44,1.452,63.868
ARESE,2014,49,1.62,79.358
ARLUNO,2014,46,1.629,74.933
ASSAGO,2014,48,1.643,78.841
BARANZATE,2014,49,1.682,82.441
BAREGGIO,2014,48,1.594,76.493
BASIANO,2014,44,1.164,51.206
BASIGLIO,2014,48,1.602,76.884
BELLINZAGO LOMBARDO,2014,45,1.573,70.769
BERNATE TICINO,2014,43,1.554,66.821
BESATE,2014,48,1.527,73.301
BINASCO,2014,48,1.602,76.878
BOFFALORA SOPRA TICINO,2014,44,1.656,72.879
BOLLATE,2014,49,1.681,82.354
BRESSO,2014,48,1.626,78.033
BUBBIANO,2014,48,1.536,73.71
BUCCINASCO,2014,48,1.646,79.023
BUSCATE,2014,43,1.346,57.882
BUSSERO,2014,47,1.653,77.695
BUSTO GAROLFO,2014,45,1.543,69.422
CALVIGNASCO,2014,48,1.542,73.997
CAMBIAGO,2014,44,1.466,64.512
CANEGRATE,2014,46,1.575,72.436
CARPIANO,2014,48,1.58,75.828
CARUGATE,2014,47,1.641,77.136
CASARILE,2014,48,1.595,76.545
CASOREZZO,2014,45,1.615,72.671
CASSANO D`ADDA,2014,45,1.543,69.45
CASSINA DE PECCHI,2014,45,1.718,77.304
CASSINETTA DI LUGAGNANO,2014,45,1.687,75.915
CASTANO PRIMO,2014,42,1.275,53.565
CERNUSCO SUL NAVIGLIO,2014,46,1.724,79.304
CERRO AL LAMBRO,2014,48,1.585,76.061
CERRO MAGGIORE,2014,48,1.507,72.359
CESANO BOSCONE,2014,48,1.654,79.398
CESATE,2014,49,1.671,81.888
CINISELLO BALSAMO,2014,48,1.607,77.151
CISLIANO,2014,47,1.61,75.677
COLOGNO MONZESE,2014,48,1.605,77.018
COLTURANO,2014,48,1.609,77.254
CORBETTA,2014,45,1.701,76.559
CORMANO,2014,48,1.66,79.703
CORNAREDO,2014,48,1.644,78.912
CORSICO,2014,48,1.651,79.251
CUGGIONO,2014,43,1.406,60.469
CUSAGO,2014,48,1.615,77.524
CUSANO MILANINO,2014,48,1.649,79.165
DAIRAGO,2014,44,1.469,64.657
DRESANO,2014,48,1.596,76.584
GAGGIANO,2014,48,1.587,76.165
GARBAGNATE MILANESE,2014,49,1.65,80.861
GESSATE,2014,45,1.527,68.695
GORGONZOLA,2014,46,1.627,74.864
GREZZAGO,2014,38,1.243,47.251
GUDO VISCONTI,2014,48,1.549,74.375
INVERUNO,2014,44,1.547,68.057
INZAGO,2014,45,1.577,70.975
LACCHIARELLA,2014,48,1.609,77.232
LAINATE,2014,49,1.661,81.397
LEGNANO,2014,46,1.544,71.033
LISCATE,2014,46,1.668,76.72
LOCATE DI TRIULZI,2014,48,1.595,76.563
MAGENTA,2014,42,1.802,75.697
MAGNAGO,2014,43,1.352,58.125
MARCALLO CON CASONE,2014,44,1.705,75.041
MASATE,2014,44,1.321,58.118
MEDIGLIA,2014,48,1.642,78.833
MELEGNANO,2014,48,1.592,76.425
MELZO,2014,47,1.567,73.656
MESERO,2014,43,1.611,69.261
MORIMONDO,2014,48,1.537,73.792
MOTTA VISCONTI,2014,48,1.525,73.184
MUNICIPIO_1,2014,48,1.64,78.715
MUNICIPIO_2,2014,48,1.614,77.48
MUNICIPIO_3,2014,48,1.615,77.517
MUNICIPIO_4,2014,48,1.642,78.831
MUNICIPIO_5,2014,48,1.6,76.797
