Comune;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;
"Maleo";56;50;52;53;58;68;61;66;57;54;47;
"Marcallo con Casone";91;91;105;97;103;102;102;97;101;103;97;
"Marudo";17;22;24;28;28;27;31;34;29;28;24;
"Masate";26;31;34;37;41;44;40;48;49;51;61;
"Massalengo";74;81;78;80;74;78;75;78;85;74;71;
"Mediglia";210;226;227;230;237;238;244;250;258;234;231;
"Melegnano";353;343;358;403;400;405;405;399;377;353;362;
"Meleti";12;14;15;11;9;9;7;7;7;9;8;
"Melzo";320;345;355;355;359;352;360;337;332;340;348;
"Merlino";16;15;20;18;21;20;24;24;26;26;25;
"Mesero";58;61;69;50;59;60;62;65;67;65;66;
"Milano";23520;24029;24440;24509;24685;24671;24665;24135;23463;23514;23351;
"Montanaso Lombardo";46;48;44;54;46;52;46;44;45;46;45;
"Morimondo";14;14;13;14;15;18;19;12;11;15;18;
"Motta Visconti";115;122;132;137;130;127;126;129;128;133;134;
"Mulazzano";84;97;96;99;107;103;101;100;102;104;112;
"Nerviano";257;282;298;283;292;298;286;286;316;303;322;
"Nosate";11;12;12;13;11;10;12;9;10;7;7;
"Novate Milanese";322;337;343;347;371;377;406;405;397;396;385;
"Noviglio";59;69;70;79;77;81;80;78;81;77;82;
"Opera";211;230;242;250;264;277;279;270;266;273;281;
"Orio Litta";38;45;46;54;54;60;62;55;51;46;43;
"Ospedaletto Lodigiano";24;27;32;31;32;30;31;26;22;24;27;
"Ossago Lodigiano";26;30;31;33;22;27;31;30;25;23;25;
"Ossona";62;77;75;80;87;92;90;98;91;93;98;
"Ozzero";19;18;17;23;25;25;27;25;24;24;29;
"Paderno Dugnano";703;727;710;720;724;755;754;761;781;772;779;
"Pantigliate";93;104;113;119;116;113;111;123;114;116;107;
"Parabiago";349;365;399;431;463;471;489;502;480;474;488;
"Paullo";198;211;226;247;258;268;251;242;220;228;220;
"Pero";159;178;187;207;214;207;215;192;200;210;196;
"Peschiera Borromeo";310;334;374;384;404;409;429;418;413;405;414;
"Pessano con Bornago";110;114;118;124;133;137;139;145;147;137;138;
"Pieve Emanuele";198;227;227;237;224;252;253;240;255;250;256;
"Pieve Fissiraga";24;25;22;21;22;19;26;27;26;21;24;
"Pioltello";495;535;526;543;569;597;599;586;559;579;580;
"Pogliano Milanese";82;102;110;116;114;118;120;145;147;143;162;
"Pozzo d'Adda";47;54;61;60;64;61;74;71;77;82;102;
"Pozzuolo Martesana";112;123;125;135;136;140;145;141;138;152;138;
"Pregnana Milanese";94;96;104;113;118;129;133;130;133;139;154;
"Rescaldina";186;203;214;212;223;247;240;251;248;266;257;
"Rho";780;809;871;875;932;972;1007;975;962;960;954;
"Robecchetto con Induno";62;72;76;73;72;79;70;73;79;77;79;
"Robecco sul Naviglio";97;98;106;113;118;120;120;123;111;114;104;
"Rodano";63;64;68;69;72;77;70;72;76;77;83;
"Rosate";90;98;94;91;97;101;107;109;107;106;109;
"Rozzano";635;677;698;736;782;777;786;766;768;769;788;
"Salerano sul Lambro";48;48;52;47;51;58;57;57;51;46;47;
"San Colombano al Lambro";113;134;131;155;153;161;154;139;142;139;141;
"San Donato Milanese";557;571;593;628;665;670;677;671;650;659;631;
