Comune,2013,2014,2015,2016,2017,2018,2019
Solaro,0.013340943140472284,0.014083500142979696,0.014410044228848623,0.015010315145479122,0.01533873029399233,0.015474577479854524,0.014753046824887749
Trezzano Rosa,0.00955223880597015,0.009527590313616514,0.010650887573964497,0.012178353957965037,0.013484463552863006,0.012860483242400623,0.01135918527222875
Trezzano sul Naviglio,0.015270183734791389,0.01539210910862153,0.015935870195093682,0.01672289156626506,0.017606985223565533,0.018502499038831218,0.018978589480711457
Trezzo sull'Adda,0.012362178416304711,0.014316630597636092,0.014886892880904857,0.014766339458008221,0.015160398693357903,0.015193486107613532,0.015457887700534759
Tribiano,0.011464603038119804,0.011945392491467578,0.011881188118811881,0.011503928170594837,0.013062812673707616,0.014631401238041642,0.016260162601626018
Truccazzano,0.011960132890365448,0.012472975220355896,0.013948854201262038,0.01579566459418585,0.016457414319647097,0.016934656175162505,0.016660941257299895
Turbigo,0.015976171134578932,0.016512008733624454,0.017539051795012334,0.018717313515001378,0.019908751555371217,0.020172509738452978,0.021134593993325918
Vanzaghello,0.013172541743970315,0.01425925925925926,0.014564896755162243,0.015952513448339825,0.015659955257270694,0.016493699036323202,0.015983452425723955
Vanzago,0.013001444604956107,0.013431013431013432,0.014672068323661448,0.015361150452118968,0.016386326641345633,0.01704422869471413,0.018072289156626505
Vaprio d'Adda,0.010473696738871698,0.011448598130841122,0.012845735447286193,0.012634964392373075,0.014906832298136646,0.014378065091395453,0.014003111802622805
Vermezzo con Zelo,0.01520572450805009,0.014682469485229083,0.01587861679604799,0.013326319480974926,0.014137931034482758,0.013606613847743714,0.011871988988300069
Vernate,0.011667178385016887,0.012773722627737226,0.014541048167222055,0.014754591990364349,0.01556420233463035,0.01742264944427756,0.017570433202059983
Vignate,0.012834576568670469,0.014043109079033311,0.01443298969072165,0.015082956259426848,0.014951059481553189,0.0158008658008658,0.014428771400882955
Villa Cortese,0.01659951651893634,0.01752975233193953,0.018158444480154266,0.01800353640893747,0.0196425696345194,0.020067972163780548,0.021881123448726322
Vimodrone,0.013850415512465374,0.015515222482435597,0.016002824027769605,0.01640601947477132,0.016542155816435433,0.017898417590232918,0.01770016631028748
Vittuone,0.013980539089587294,0.014305023653976122,0.013887333407996416,0.015108485743496535,0.016550326503039857,0.016453995970449966,0.018497882772453754
Vizzolo Predabissi,0.014496375906023495,0.01691065118626956,0.01870356136305406,0.018079959256429846,0.017820773930753563,0.018518518518518517,0.020342346812205408
"Baggio, De Angeli, San Siro",0.018864830357090565,0.01930228336173627,0.019753661590425995,0.01983915760240685,0.02018689004366913,0.020068415051311288,0.019705436528585325
"Barona, Lorenteggio",0.01927828959737853,0.0197447644419329,0.01989133129216607,0.019695014741177023,0.01992228048228687,0.019884935855045627,0.019722996790656075
Centro,0.016096684020741756,0.016520284399832705,0.01616793861382021,0.016355478361557388,0.016242205077101675,0.015932330750718426,0.015864717591940965
"Città Studi, Lambrate, Venezia",0.01611097728593088,0.016882856856828225,0.017010459759475374,0.01695191755268216,0.01640813126505012,0.016211337522130036,0.016134614319729776
"Fiera, Gallaratese, Quarto Oggiaro",0.01916924110510868,0.019333384889026372,0.01982487750214234,0.01941964650898997,0.019284812337121517,0.018863615845012453,0.01888743112044083
"Stazione Centrale, Gorla, Turro, Greco, Crescenzago",0.014530059714364114,0.014980440385697277,0.015086693639455124,0.014826198690193028,0.014853321096996022,0.014520478626571303,0.014257231373270758
"Stazione Garibaldi, Niguarda",0.01622809675162639,0.016790573558964673,0.016778395776585277,0.016802818118948824,0.0168629091065071,0.016811557146509844,0.016819076834892817
"Vigentino, Chiaravalle, Gratosoglio",0.016390395293014684,0.016881487395916505,0.0176267505186722,0.01761994030138948,0.017474313080107953,0.017531195215014953,0.017657209042129897
"Vittoria, Forlanini",0.018721367696363216,0.018783095853265458,0.018601961245384463,0.018802360403846398,0.018679708438744582,0.018384697788758647,0.018122083669783583
