Comune;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;
"Guardamiglio";612;633;637;640;640;629;617;637;638;626;679;
"Gudo Visconti";348;353;352;361;357;376;381;384;397;427;425;
"Inveruno";2179;2219;2260;2360;2401;2467;2509;2513;2491;2471;2546;
"Inzago";2384;2443;2519;2573;2603;2662;2686;2686;2702;2738;2803;
"Lacchiarella";2178;2246;2295;2284;2332;2366;2383;2356;2384;2426;2478;
"Lainate";6162;6388;6535;6674;6862;6945;7022;7019;7184;7183;7324;
"Legnano";13951;14393;14443;14971;15183;15364;15447;15358;15482;15528;15759;
"Liscate";804;842;864;882;886;912;934;954;1003;989;1041;
"Livraga";660;693;693;695;688;687;680;670;678;679;694;
"Locate di Triulzi";2285;2326;2396;2432;2471;2531;2539;2553;2598;2635;2661;
"Lodi";10883;11225;11238;11594;11689;11725;11787;11748;11869;12006;12286;
"Lodi Vecchio";1643;1724;1737;1775;1858;1891;1915;1902;1901;1924;1982;
"Maccastorna";13;18;17;17;17;17;19;17;22;16;17;
"Magenta";6124;6210;6299;6391;6533;6565;6626;6590;6637;6701;6787;
"Magnago";2110;2214;2234;2304;2332;2381;2395;2394;2390;2397;2453;
"Mairago";280;308;312;329;331;332;331;334;327;346;364;
"Maleo";798;839;837;833;879;864;863;860;870;799;798;
"Marcallo con Casone";1430;1451;1486;1486;1524;1544;1541;1551;1546;1525;1583;
"Marudo";355;372;367;376;401;412;418;437;445;450;473;
"Masate";704;733;781;800;813;845;840;851;881;901;955;
"Massalengo";896;924;942;971;1002;1021;1040;1049;1061;1080;1128;
"Mediglia";2660;2740;2825;2843;2911;2942;3027;3057;3128;3132;3209;
"Melegnano";4494;4522;4572;4627;4670;4748;4772;4668;4659;4646;4724;
"Meleti";155;162;160;162;160;155;161;154;150;146;162;
"Melzo";4693;4819;4931;5010;5018;5072;5088;5061;5119;5122;5248;
"Merlino";245;260;275;300;313;316;304;310;321;345;339;
"Mesero";934;950;968;1005;1014;1030;1044;1052;1057;1068;1098;
"Milano";312093;314346;315259;316523;318908;318249;318921;312580;312180;311377;314942;
"Montanaso Lombardo";507;516;530;538;566;564;567;568;574;570;585;
"Morimondo";270;268;273;266;271;301;280;283;286;292;295;
"Motta Visconti";1810;1871;1885;1956;2011;2042;2055;2072;2152;2136;2153;
"Mulazzano";1261;1311;1321;1353;1383;1410;1429;1442;1459;1482;1595;
"Nerviano";4420;4528;4607;4675;4744;4759;4729;4725;4784;4800;4886;
"Nosate";187;189;183;189;186;185;189;183;185;181;175;
"Novate Milanese";5631;5673;5683;5757;5822;5823;5865;5846;5854;5832;5978;
"Noviglio";837;865;904;947;966;981;999;1020;1043;1050;1113;
"Opera";3663;3738;3754;3820;3894;3965;4011;4008;4038;4037;4101;
