age_group,Comune,Sesso,Popolazione,Year
Young,Masate,Femmine,494,2011
Young,Masate,Maschi,479,2011
Young,Mediglia,Femmine,1819,2011
Young,Mediglia,Maschi,1978,2011
Young,Melegnano,Femmine,2252,2011
Young,Melegnano,Maschi,2250,2011
Young,Melzo,Femmine,2481,2011
Young,Melzo,Maschi,2461,2011
Young,Mesero,Femmine,510,2011
Young,Mesero,Maschi,559,2011
Young,Milano,Femmine,155562,2011
Young,Milano,Maschi,164696,2011
Young,Morimondo,Femmine,161,2011
Young,Morimondo,Maschi,184,2011
Young,Motta Visconti,Femmine,1086,2011
Young,Motta Visconti,Maschi,1124,2011
Young,Nerviano,Femmine,2303,2011
Young,Nerviano,Maschi,2554,2011
Young,Nosate,Femmine,81,2011
Young,Nosate,Maschi,91,2011
Young,Novate Milanese,Femmine,2641,2011
Young,Novate Milanese,Maschi,2730,2011
Young,Noviglio,Femmine,691,2011
Young,Noviglio,Maschi,736,2011
Young,Opera,Femmine,1796,2011
Young,Opera,Maschi,1822,2011
Young,Ossona,Femmine,553,2011
Young,Ossona,Maschi,663,2011
Young,Ozzero,Femmine,246,2011
Young,Ozzero,Maschi,205,2011
Young,Paderno Dugnano,Femmine,6701,2011
Young,Paderno Dugnano,Maschi,6914,2011
Young,Pantigliate,Femmine,850,2011
Young,Pantigliate,Maschi,862,2011
Young,Parabiago,Femmine,3692,2011
Young,Parabiago,Maschi,3763,2011
Young,Paullo,Femmine,1613,2011
Young,Paullo,Maschi,1697,2011
Young,Pero,Femmine,1467,2011
Young,Pero,Maschi,1429,2011
Young,Peschiera Borromeo,Femmine,3287,2011
Young,Peschiera Borromeo,Maschi,3310,2011
Young,Pessano con Bornago,Femmine,1343,2011
Young,Pessano con Bornago,Maschi,1483,2011
Young,Pieve Emanuele,Femmine,2367,2011
Young,Pieve Emanuele,Maschi,2500,2011
Young,Pioltello,Femmine,5482,2011
Young,Pioltello,Maschi,5967,2011
Young,Pogliano Milanese,Femmine,1157,2011
Young,Pogliano Milanese,Maschi,1282,2011
Young,Pozzo d'Adda,Femmine,840,2011
Young,Pozzo d'Adda,Maschi,886,2011
Young,Pozzuolo Martesana,Femmine,1158,2011
Young,Pozzuolo Martesana,Maschi,1143,2011
Young,Pregnana Milanese,Femmine,969,2011
Young,Pregnana Milanese,Maschi,1008,2011
Young,Rescaldina,Femmine,1903,2011
Young,Rescaldina,Maschi,2024,2011
Young,Rho,Femmine,6581,2011
Young,Rho,Maschi,7056,2011
Young,Robecchetto con Induno,Femmine,651,2011
Young,Robecchetto con Induno,Maschi,736,2011
Young,Robecco sul Naviglio,Femmine,1020,2011
Young,Robecco sul Naviglio,Maschi,1014,2011
Young,Rodano,Femmine,618,2011
Young,Rodano,Maschi,692,2011
Young,Rosate,Femmine,803,2011
Young,Rosate,Maschi,840,2011
Young,Rozzano,Femmine,5821,2011
Young,Rozzano,Maschi,6047,2011
Young,San Colombano al Lambro,Femmine,922,2011
Young,San Colombano al Lambro,Maschi,1017,2011
Young,San Donato Milanese,Femmine,4392,2011
Young,San Donato Milanese,Maschi,4764,2011
Young,San Giorgio su Legnano,Femmine,905,2011
Young,San Giorgio su Legnano,Maschi,970,2011
Young,San Giuliano Milanese,Femmine,5287,2011
Young,San Giuliano Milanese,Maschi,5520,2011
Young,San Vittore Olona,Femmine,1177,2011
Young,San Vittore Olona,Maschi,1156,2011
Young,San Zenone al Lambro,Femmine,615,2011
Young,San Zenone al Lambro,Maschi,659,2011
Young,Santo Stefano Ticino,Femmine,755,2011
Young,Santo Stefano Ticino,Maschi,717,2011
Young,Sedriano,Femmine,1634,2011
Young,Sedriano,Maschi,1803,2011
Young,Segrate,Femmine,4559,2011
Young,Segrate,Maschi,5018,2011
Young,Senago,Femmine,3065,2011
Young,Senago,Maschi,3343,2011
Young,Sesto San Giovanni,Femmine,9754,2011
Young,Sesto San Giovanni,Maschi,10186,2011
Young,Settala,Femmine,1150,2011
Young,Settala,Maschi,1201,2011
Young,Settimo Milanese,Femmine,2735,2011
