,I1,I2,I3,I4,Year,Comune,IMED,IFQ,ITQ,PI1,PI2,PI3,PI4,TI1,TI2,TI3,TI4,MI1,MI2,MI3,MI4
5,831,2373,1400,82,2016  ,Arconate,27214.15,10814.7,69278.24,0.17733674775928296,0.5064020486555698,0.2987622705932565,0.017498932991890738,0.037487756332740305,0.4081137478232468,0.4679870539303922,0.08641144191362071,4887.79,18634.08,36218.48,114177.83
6,837,2389,1412,79,2017  ,Arconate,27285.05,10785.94,69442.99,0.17744329022683908,0.5064659741361035,0.2993428026287895,0.016747933008267966,0.026259555214890134,0.41432308265706413,0.4769228226956258,0.08249453943241994,3375.65,18660.31,36342.05,112355.43
7,816,2404,1471,84,2018  ,Arconate,27392.96,10653.14,69810.55,0.17089005235602095,0.503455497382199,0.3080628272251309,0.017591623036649216,0.034512792313952476,0.4005844446594133,0.47919034471374405,0.08571241831289017,4789.33,18868.8,36887.57,115544.46
8,848,2327,1529,85,2019  ,Arconate,27633.2,10625.71,69797.44,0.17707245771559824,0.4859051994153268,0.3192733347254124,0.01774900814366256,0.036098567551835714,0.38622656291902624,0.4940251759277644,0.08364969360137367,4875.55,19009.69,37005.9,112713.2
0,2666,5179,4748,992,2011,Arese,28399.58,10698.99,70800.05,0.19624585940375414,0.38122929701877073,0.34950312845049686,0.07302171512697829,0.028064137114970487,0.21823484022568027,0.44828448704859825,0.305416535610751,4579.23,18330.7,41071.8,133931.16
1,2645,5241,4793,1060,2012  ,Arese,28508.77,10705.51,70841.57,0.19251765048402358,0.38146881141276656,0.34886090690734406,0.07715263119586578,0.026228939752100888,0.21284408721821127,0.4398801991743391,0.3210467738553487,4478.86,18342.56,41451.44,136796.51
2,2642,5081,4919,1053,2013  ,Arese,28390.99,10649.55,70951.98,0.19291712303760497,0.3710113179992698,0.3591821832785688,0.07688937568455641,0.026437807780143135,0.20424538437774115,0.4405381591028845,0.3287786487392312,4579.95,18398.01,40989.69,142903.59
3,2717,4985,5038,1075,2014  ,Arese,28516.71,10618.37,70751.55,0.19667028592110025,0.3608396670285921,0.36467607672819397,0.07781397032211365,0.025751858969466114,0.20074290596601566,0.45149935045552475,0.3220058846089935,4352.43,18492.18,41154.0,137552.47
4,2634,4931,5188,1112,2015  ,Arese,28539.8,10555.24,70733.28,0.18997475658131988,0.3556437071763433,0.37417958889289576,0.08020194734944104,0.024694680087146096,0.19311196771332248,0.45295927070354025,0.3292340814959912,4417.15,18451.37,41135.21,139493.67
5,2576,4994,5182,1105,2016  ,Arese,28582.41,10549.93,70761.11,0.1858988236992134,0.3603954679945154,0.37396261817132137,0.07974309013494985,0.023869617276891276,0.19548712033751445,0.45222709478405776,0.3284161676015365,4386.82,18531.9,41315.16,140705.97
6,2716,4995,5231,1168,2017  ,Arese,28653.01,10552.88,70814.26,0.19248759744861801,0.354004252303331,0.37072997873848335,0.08277817150956768,0.01845269424935605,0.19159739600858997,0.4473289112445356,0.34262099849751837,3283.98,18540.63,41334.5,141788.67
7,2574,4974,5408,1260,2018  ,Arese,28691.71,10517.22,70786.91,0.18106359032076533,0.3498874507597074,0.3804164321890827,0.08863252673044457,0.02162005336377085,0.1797466624006569,0.4364322928250428,0.36220099141052947,4317.56,18575.71,41483.04,147764.28
8,2641,4838,5429,1259,2019  ,Arese,28685.79,10529.57,70973.05,0.18641914307898638,0.3414978471094798,0.3832145125997035,0.08886849721183031,0.021894054023919956,0.17466109024190563,0.43700853893898944,0.366436316795185,4280.35,18640.24,41561.51,150277.51
0,1651,4309,2208,154,2011,Arluno,27297.38,10724.44,70151.64,0.19838981014179283,0.5177841864936313,0.2653208363374189,0.018505167027156932,0.04407795654351273,0.42727499446886114,0.4354982050222494,0.09314884396537676,4968.47,18453.53,36705.89,112565.49
1,1697,4379,2275,163,2012  ,Arluno,27399.07,10706.99,69843.04,0.19931876908621093,0.5143293399107353,0.2672069532534649,0.019144937749588913,0.04365435941774752,0.4195373260583801,0.43945284635955234,0.09735546816432003,4939.55,18396.58,37091.31,114686.97
2,1622,4194,2433,168,2013  ,Arluno,27408.31,10684.33,70509.28,0.19270523939645956,0.4982772959486753,0.28905785909468934,0.019959605560175835,0.03983840888952441,0.40206434379050787,0.4599285859962619,0.09816866132370579,4772.37,18627.33,36730.91,113539.51
3,1614,4117,2480,167,2014  ,Arluno,27484.9,10712.52,70529.66,0.19264740988302698,0.49140606349964194,0.2960133683456672,0.019933158271663882,0.03979836291813027,0.3926373168365313,0.4667439243094158,0.10082039593592264,4825.3,18662.64,36828.96,118139.3
4,1571,4007,2667,194,2015  ,Arluno,27528.61,10677.22,69761.43,0.18615949757080222,0.4748192913852352,0.31603270529683614,0.022988505747126436,0.03723536973141729,0.3693622379606778,0.48367438796734247,0.10972800434056242,4803.33,18680.83,36753.02,114624.82
5,1591,4014,2717,189,2016  ,Arluno,27535.71,10678.61,69661.42,0.18693455528140054,0.4716249559393726,0.3192339325578663,0.022206556221360592,0.03672713879983353,0.3663930400115044,0.48827003111192374,0.10860979007673828,4732.75,18713.99,36844.01,117815.83
6,1651,3994,2772,186,2017  ,Arluno,27633.42,10692.36,70000.43,0.1919097989073579,0.46425665465535276,0.322213181448332,0.02162036498895734,0.029616707553457904,0.3622611579801011,0.49663222787032574,0.11148990659611527,3722.55,18821.95,37178.56,124386.58
7,1584,4034,2942,210,2018  ,Arluno,27612.42,10673.33,69874.09,0.1806157354618016,0.45997719498289624,0.3354618015963512,0.02394526795895097,0.03475023222008058,0.3467416445685248,0.49862619075421477,0.11988193245717985,4797.78,18797.84,37065.53,124845.32
8,1618,3954,2980,213,2019  ,Arluno,27787.64,10597.32,69852.26,0.18459783228750712,0.4511123787792356,0.3399885909868796,0.02430119794637764,0.033766530628141,0.34273178567125034,0.5106363416320828,0.11286534206852585,4535.52,18838.08,37240.4,115159.54
0,1233,2463,1964,223,2011,Assago,28176.13,10616.83,70360.02,0.20958694543600204,0.41866394696583376,0.33384327723950363,0.03790583035866055,0.035458942240161606,0.2901784196752749,0.5012340702140726,0.1731285678704908,4470.33,18313.75,39671.24,120681.45
1,1204,2442,2027,255,2012  ,Assago,28308.57,10628.55,70705.63,0.20310391363022942,0.41194331983805665,0.3419365721997301,0.0430161943319838,0.033450407431151435,0.27506880605589706,0.4986611566504297,0.1928196298625218,4506.77,18271.99,39906.34,122659.48
2,1259,2385,2193,271,2013  ,Assago,28254.35,10578.9,70571.19,0.2061231172233137,0.39047151277013753,0.35903732809430255,0.044368041912246234,0.032196209890167284,0.25906228141407006,0.515089537632935,0.19365197106282772,4325.57,18372.99,39729.04,120869.46
3,1215,2422,2256,267,2014  ,Assago,28327.28,10562.76,70651.61,0.19724025974025974,0.3931818181818182,0.36623376623376624,0.043344155844155845,0.03134409570791354,0.25722394754254996,0.518688238857393,0.19274371789214353,4472.02,18410.32,39855.79,125139.11
4,1222,2427,2334,303,2015  ,Assago,28347.98,10509.46,70632.12,0.19440025453388482,0.38609608654152083,0.3713013044861597,0.04820235443843462,0.03003235274586287,0.24843712695332815,0.5153438326804698,0.20618668762033912,4430.34,18452.95,39802.95,122669.62
5,1217,2419,2437,309,2016  ,Assago,28316.91,10536.78,70431.3,0.19069257286117205,0.3790347853337512,0.38185521780006265,0.0484174240050141,0.03026655202807475,0.24032279732842027,0.5232843090408921,0.20612634160261292,4599.7,18374.52,39713.59,123376.35
6,1208,2380,2529,340,2017  ,Assago,28343.24,10610.64,70563.57,0.18708378503949202,0.36859222549171444,0.3916679572556915,0.05265603221310206,0.020815838553528577,0.2306818150332331,0.5277250529580279,0.22077729345521044,3271.26,18400.26,39613.8,123271.63
7,1194,2334,2688,373,2018  ,Assago,28535.99,10523.52,70761.57,0.1812111094247989,0.3542267415389285,0.4079526483533161,0.05660950068295644,0.027493590132763555,0.21203692715799966,0.5305148635026575,0.22995461920657925,4667.41,18414.48,40005.25,124963.16
8,1208,2300,2691,393,2019  ,Assago,28575.41,10480.24,70877.01,0.18325242718446602,0.34890776699029125,0.4082220873786408,0.05961771844660194,0.025774543404254495,0.2071169077112418,0.5264652975421987,0.24064325134230496,4378.79,18480.68,40150.07,125664.13
0,2000,3823,1404,53,2011,Baranzate,26589.19,10632.15,70377.49,0.27472527472527475,0.5251373626373627,0.19285714285714287,0.00728021978021978,0.06947059175421579,0.5174261796669641,0.3679905405907294,0.04511268798809064,4624.86,18020.69,34897.7,113331.36
1,2031,3961,1390,61,2012  ,Baranzate,26719.81,10658.05,70614.62,0.2728738411930673,0.5321778852613194,0.18675265349993284,0.008195620045680505,0.06990427818035982,0.5203240803290974,0.35744581479982496,0.052325826690717885,4709.53,17974.34,35186.75,117373.49
2,2002,3820,1488,58,2013  ,Baranzate,26588.76,10668.68,71152.51,0.2717155266015201,0.5184581976112921,0.20195439739413681,0.007871878393051032,0.06883747677094405,0.5070117722027369,0.37679838728694265,0.04735236373937645,4699.6,18140.74,34610.38,111587.07
3,1977,3750,1539,50,2014  ,Baranzate,26780.44,10643.93,70691.44,0.27022963367960634,0.5125751776927283,0.21036085292509568,0.00683433570256971,0.0690071790965274,0.4970177852737888,0.3929944661675854,0.04098056946209841,4777.46,18140.54,34950.83,112180.56
4,1958,3760,1608,59,2015  ,Baranzate,26757.4,10629.55,69370.6,0.2651320243737305,0.5091401489505755,0.21773865944482057,0.007989167230873392,0.06647319343565755,0.4815602836778634,0.3989468212945976,0.053019701591881484,4777.38,18022.64,34912.78,126456.39
5,2039,3884,1572,62,2016  ,Baranzate,26840.71,10563.58,68657.87,0.2698160645758899,0.5139605663623131,0.20801905518062724,0.008204313881169776,0.06827538144060048,0.49376970256429664,0.384858518192385,0.05309639780271789,4745.49,18016.88,34696.29,121369.02
6,2122,3829,1569,60,2017  ,Baranzate,26859.02,10610.19,69853.85,0.2799472295514512,0.5051451187335092,0.2069920844327177,0.0079155672823219,0.06811183078552646,0.4926031818482213,0.38763914332252125,0.051645844043730946,4525.69,18139.24,34834.69,121364.43
7,1969,3875,1637,60,2018  ,Baranzate,26918.65,10714.48,70689.92,0.26110595411749105,0.5138575785704814,0.21707996286964593,0.007956504442381647,0.06823599815470535,0.4857691044497265,0.3939630787902576,0.052031818605310524,5031.91,18202.19,34943.97,125916.63
8,2020,3955,1702,75,2019  ,Baranzate,26966.49,10664.1,69957.57,0.26057791537667696,0.5101909184726522,0.2195562435500516,0.009674922600619196,0.06740860516150729,0.47699049452287934,0.39569881628414955,0.0599020840314638,5011.43,18111.76,34914.23,119943.85
0,2450,6309,3478,232,2011,Bareggio,27452.61,10783.95,70431.89,0.19648728847541905,0.5059748175475178,0.2789317507418398,0.018606143235223353,0.04177921575082345,0.40942876103133397,0.4563255411052327,0.09246648211260988,4827.3,18370.79,37141.14,112825.28
1,2440,6362,3508,250,2012  ,Bareggio,27553.79,10817.46,70526.27,0.1942675159235669,0.5065286624203822,0.27929936305732483,0.019904458598726114,0.04094244376015334,0.40485411289144446,0.45430125902749197,0.0999021843209102,4850.18,18394.12,37433.34,115507.22
2,2412,6099,3762,251,2013  ,Bareggio,27507.1,10696.07,70642.52,0.19259022676461193,0.4869849888214628,0.3003832641328649,0.020041520281060363,0.03807004907137243,0.38614732213682007,0.4772170376681489,0.09856559112365862,4616.16,18516.94,37099.84,114848.8
3,2481,5946,3775,268,2014  ,Bareggio,27542.14,10713.36,69788.08,0.19895749799518844,0.4768243785084202,0.3027265437048917,0.0214915797914996,0.0409127755667631,0.3773307566603266,0.48014841021530985,0.10160805755760044,4813.69,18524.38,37128.28,110672.49
4,2415,5836,3982,268,2015  ,Bareggio,27649.56,10662.9,70461.68,0.1931845452363811,0.46684265258779295,0.3185345172386209,0.021438284937205024,0.038613088808366065,0.3611329025345494,0.4972389424679338,0.10301506618915073,4787.84,18529.96,37392.67,115103.52
5,2434,5880,3995,262,2016  ,Bareggio,27611.72,10687.74,70452.63,0.19362023705353593,0.4677432185188131,0.31779492482698274,0.020841619600668205,0.03807511259707042,0.363624363097725,0.49682315444145647,0.10147736986374811,4696.49,18566.42,37336.84,116284.14
6,2473,5871,4066,281,2017  ,Bareggio,27649.99,10652.95,70110.74,0.19486250098494998,0.4626112993459932,0.3203845244661571,0.022141675202899693,0.03394601698780709,0.3593519056650357,0.499855950912565,0.10684612643459215,4173.58,18610.23,37378.45,115610.22
7,2410,5720,4191,322,2018  ,Bareggio,27781.98,10693.77,69950.8,0.1906193150359883,0.45242426639247013,0.3314877797990983,0.02546863877244325,0.036615185974875876,0.3429002757298717,0.501972137590002,0.11851240070525032,4750.1,18742.61,37447.27,115071.07
8,2397,5610,4342,316,2019  ,Bareggio,27774.66,10590.53,70156.89,0.18926174496644296,0.4429530201342282,0.34283458349782864,0.0249506514015002,0.034799112286584694,0.332820101369086,0.5149496661840959,0.11743112016023342,4595.7,18780.11,37542.78,117637.99
0,498,1192,729,41,2011,Basiano,27918.9,10766.34,71238.81,0.20243902439024392,0.4845528455284553,0.29634146341463413,0.016666666666666666,0.041212273553233945,0.38859592285211303,0.4849557645670038,0.08523603902764919,4730.34,18634.48,38025.05,118832.34
1,516,1200,736,39,2012  ,Basiano,28049.12,10749.88,70518.97,0.20714572460859093,0.48173424327579284,0.29546366920915296,0.01565636290646327,0.04250042061724667,0.387341632816993,0.4889094465931048,0.08124849997265553,4729.05,18532.88,38140.0,119613.67
2,504,1195,778,45,2013  ,Basiano,27868.2,10770.41,71300.37,0.1998413957176844,0.47383029341792227,0.3084853291038858,0.017842981760507533,0.0421740545922368,0.37734579877619767,0.49576014530495055,0.08472000132661497,4945.22,18661.34,37658.51,111261.42
3,502,1180,801,44,2014  ,Basiano,27788.57,10725.64,70182.58,0.19865453106450337,0.4669568658488326,0.31697665215670756,0.01741195092995647,0.03894764844922513,0.3703844947023582,0.5055282351834074,0.08513962166500923,4631.01,18735.64,37671.31,115498.64
4,511,1171,832,59,2015  ,Basiano,27774.26,10727.93,70299.06,0.19860085503303537,0.455110765643218,0.3233579479207151,0.02293043140303148,0.037949245974413306,0.3541979733228134,0.5029030843290994,0.10494969637367399,4599.34,18732.78,37434.68,110164.66
5,481,1128,801,57,2016  ,Basiano,27878.26,10728.21,68901.16,0.19497365220916094,0.4572355087150385,0.32468585326307253,0.02310498581272801,0.03656586239277888,0.35093135030897354,0.4983910172826205,0.11411177001562715,4573.49,18716.74,37433.03,120440.58
6,540,1193,833,50,2017  ,Basiano,27829.65,10682.39,69774.67,0.20642201834862386,0.45603975535168195,0.3184250764525994,0.0191131498470948,0.0361082709740703,0.3616410108133639,0.5089972640933542,0.09325345411921154,4103.53,18602.94,37498.57,114456.16
7,534,1174,870,52,2018  ,Basiano,27862.89,10616.65,70182.48,0.20304182509505703,0.4463878326996198,0.33079847908745247,0.01977186311787072,0.04209346202848885,0.35012509934237707,0.5173526993699523,0.09042873925918177,4947.68,18719.02,37324.63,109151.87
8,527,1177,900,56,2019  ,Basiano,27894.15,10707.26,69512.44,0.1981203007518797,0.4424812030075188,0.3383458646616541,0.021052631578947368,0.039209342686233946,0.3420181785369343,0.5241791105254284,0.09459336825140337,4766.62,18616.76,37313.71,108219.11
0,1101,1301,1645,751,2011,Basiglio,29123.64,10522.08,71155.0,0.22947061275531472,0.2711546477699041,0.3428511879949979,0.15652355147978325,0.020707666317709806,0.1079991877229069,0.33487357019172836,0.536419575767655,4092.83,18064.38,44299.09,155433.44
1,1048,1338,1740,772,2012  ,Basiglio,29126.47,10503.45,71377.29,0.21396488362596977,0.273172723560637,0.35524703960800325,0.15761535320538997,0.018971484918356065,0.10294517191126988,0.3297434868114079,0.5483398563589661,4254.49,18082.46,44538.41,166932.24
2,1124,1312,1766,766,2013  ,Basiglio,29103.87,10391.92,70952.85,0.22624798711755234,0.2640901771336554,0.355475040257649,0.1541867954911433,0.01950629548934406,0.10409505668412172,0.34355405501306374,0.5328445928134704,3946.18,18041.16,44235.65,158175.74
3,1163,1345,1813,794,2014  ,Basiglio,29096.56,10486.53,70909.51,0.2273704789833822,0.26295210166177907,0.3544477028347996,0.1552297165200391,0.019716420042502406,0.10351149711119141,0.3399348374995481,0.536837245346758,3964.01,17995.03,43841.38,158091.48
4,1109,1340,1864,817,2015  ,Basiglio,29019.48,10562.22,71303.11,0.2161793372319688,0.26120857699805067,0.36335282651072126,0.15925925925925927,0.01867747475488004,0.0988558955904188,0.3365758012656418,0.5458908283890593,4088.43,17908.83,43833.53,162200.89
5,1092,1374,1954,785,2016  ,Basiglio,28905.11,10492.69,71421.79,0.20979827089337175,0.2639769452449568,0.3754082612872238,0.15081652257444764,0.017503989925270663,0.10044349381895086,0.34819251913332466,0.5338599971224538,3923.17,17891.97,43613.2,166448.84
6,1151,1431,2067,820,2017  ,Basiglio,29042.18,10375.91,71133.57,0.21045895044797952,0.2616566099835436,0.37794843664289635,0.14993600292558054,0.014925543618596512,0.09096382194289294,0.3225394805109922,0.5715711539275183,3652.13,17902.8,43947.52,196312.7
7,1087,1414,2144,845,2018  ,Basiglio,29029.34,10342.81,71108.87,0.19799635701275045,0.2575591985428051,0.39052823315118396,0.15391621129326047,0.01626624670406642,0.09297770803989812,0.34523814837282274,0.5455178968832127,4070.23,17885.06,43798.07,175595.44
8,1103,1409,2117,856,2019  ,Basiglio,29005.79,10369.91,71294.96,0.20109389243391065,0.2568824065633546,0.38596171376481314,0.1560619872379216,0.016427742010890332,0.09304971528476802,0.342800796167395,0.5477217465369466,4048.36,17950.68,44014.72,173925.46
0,594,1353,846,51,2011,Bellinzago Lombardo,27542.74,10707.68,69409.15,0.2088607594936709,0.4757383966244726,0.2974683544303797,0.017932489451476793,0.044257269925009966,0.37885533984897246,0.479226613955454,0.09766077627056356,4893.76,18391.61,37206.15,125774.94
1,573,1344,849,58,2012  ,Bellinzago Lombardo,27625.35,10689.99,69570.5,0.20290368271954673,0.47592067988668557,0.3006373937677054,0.020538243626062325,0.04358606110716782,0.3763390391007482,0.4784490340503149,0.10162586574176907,5022.82,18489.88,37211.93,115699.22
2,585,1306,897,57,2013  ,Bellinzago Lombardo,27580.2,10685.27,69511.05,0.2056239015817223,0.45905096660808437,0.31528998242530754,0.020035149384885764,0.040398122313189386,0.36159369260792623,0.4956788081827437,0.10232937689614074,4636.85,18590.68,37104.4,120543.28
3,575,1317,900,60,2014  ,Bellinzago Lombardo,27592.46,10672.12,69420.38,0.20161290322580644,0.461781206171108,0.3155680224403927,0.021037868162692847,0.04029551833486772,0.3598428123839918,0.49501321180494506,0.10484845747619538,4751.15,18524.1,37289.31,118473.42
4,576,1287,951,67,2015  ,Bellinzago Lombardo,27694.27,10585.63,70108.41,0.19993057965984035,0.44671988892745573,0.33009371745921556,0.023255813953488372,0.03643776750486881,0.33744684748842396,0.506159955336841,0.11995542966986629,4470.44,18528.8,37612.12,126521.9
5,538,1293,963,63,2016  ,Bellinzago Lombardo,27584.61,10620.14,70460.44,0.18830941547077354,0.45257262863143155,0.3370668533426671,0.022051102555127756,0.03387150797793311,0.33560136278339336,0.5079692293713542,0.1225578998673193,4477.51,18459.08,37514.22,138352.03
6,555,1269,957,68,2017  ,Bellinzago Lombardo,27610.0,10428.61,70406.67,0.19480519480519481,0.4454194454194454,0.3359073359073359,0.023868023868023867,0.027570120940087896,0.34079704499110447,0.5164687359809005,0.11516409808790716,3443.67,18617.04,37411.78,117404.44
7,545,1239,992,78,2018  ,Bellinzago Lombardo,27749.47,10590.75,70543.96,0.19096005606166783,0.43412754029432377,0.3475823405746321,0.027330063069376315,0.034092346300060555,0.3215362229376653,0.5158603099854,0.12851112077687415,4532.55,18803.6,37679.3,119379.17
8,521,1233,1004,82,2019  ,Bellinzago Lombardo,27840.31,10531.51,70146.43,0.18345070422535212,0.43415492957746477,0.35352112676056335,0.028873239436619718,0.03280668845557177,0.3253109883954045,0.5198038101893071,0.12207851295971667,4522.61,18949.59,37185.18,106927.52
0,473,1245,508,47,2011,Bernate Ticino,26896.9,10928.06,73240.09,0.20809502859656842,0.5477342718873736,0.2234931808183018,0.02067751869775627,0.04685320825267786,0.4359938612638465,0.34727798449747066,0.16987494598600497,5143.36,18183.59,35496.21,187672.21
1,458,1260,506,50,2012  ,Bernate Ticino,27084.52,10947.37,72798.24,0.20140721196130168,0.554089709762533,0.22251539138082674,0.02198768689533861,0.04613133093981589,0.434258871108589,0.3469649994938622,0.17264479845773287,5292.51,18109.62,36030.18,181432.36
2,452,1199,557,54,2013  ,Bernate Ticino,26914.67,10857.33,71815.7,0.19982316534040673,0.5300618921308576,0.24624226348364278,0.023872679045092837,0.042980793964767866,0.4081418680184735,0.36471937885480793,0.1841579591619507,5145.74,18420.59,35433.59,184547.56
3,442,1160,584,58,2014  ,Bernate Ticino,27070.18,10770.19,71236.31,0.19696969696969696,0.5169340463458111,0.26024955436720143,0.025846702317290554,0.04053063648354615,0.39230247530345247,0.38088660348928144,0.18628028472372,4999.93,18440.19,35561.92,175122.22
4,441,1123,632,56,2015  ,Bernate Ticino,27112.88,10785.1,73159.53,0.1958259325044405,0.49866785079928955,0.28063943161634103,0.02486678507992895,0.03785329007717098,0.37841679858885435,0.40854465196213413,0.1751852593718405,4724.91,18548.94,35583.68,172201.91
5,432,1100,648,52,2016  ,Bernate Ticino,27158.28,10742.2,71207.44,0.1935483870967742,0.492831541218638,0.2903225806451613,0.023297491039426525,0.03923404536254897,0.3710159713505482,0.4154624037114767,0.17428757957542615,5018.33,18637.17,35427.19,185200.88
