Comune,Cardio_incidence,Year,Multiplicator,Label
Villa Cortese,0.2407735697018533,2013,0.0,1
Vimodrone,0.2255554900689574,2013,1.0,0
Vittuone,0.2156358349177944,2013,2.0,0
Vizzolo Predabissi,0.2439390152461884,2013,0.0,1
Zibido San Giacomo,0.1983805668016194,2013,4.0,0
San Siro Baggio Trenno,0.2411371609630961,2013,0.0,1
Barona Lorenteggio,0.2534849990599231,2013,1.0,1
Centro Storico,0.1942928993775394,2013,5.0,0
Città Studi Lambrate,0.2264038655009706,2013,1.0,0
Fiera Gallaratese Quarto Oggiaro,0.2470745017704426,2013,1.0,1
Stazione Centrale Bicocca,0.205165227162849,2013,3.0,0
Stazione Garibaldi Niguarda,0.2245162143254543,2013,2.0,0
Vigentino Chiaravalle Gratosoglio,0.2317204257623392,2013,1.0,0
Vittoria Forlanini,0.2355782765592608,2013,0.0,0
Abbiategrasso,0.252213216957606,2014,1.0,1
Albairate,0.2289898132427844,2014,1.0,0
Arconate,0.2243754731264193,2014,2.0,0
Arese,0.2649113660062565,2014,2.0,1
Arluno,0.252497883149873,2014,1.0,1
Assago,0.2309518158082126,2014,1.0,0
Baranzate,0.1562527854532489,2014,8.0,0
Bareggio,0.2457264957264957,2014,1.0,1
Basiano,0.2262295081967213,2014,1.0,0
Basiglio,0.1671301814329228,2014,7.000000000000001,0
Bellinzago Lombardo,0.2273548387096774,2014,1.0,0
Bernate Ticino,0.2426805465191932,2014,0.0,1
Besate,0.2209971236816874,2014,2.0,0
Binasco,0.2747390396659708,2014,3.0,1
Boffalora sopra Ticino,0.2372430471584038,2014,0.0,0
Bollate,0.2987406389364149,2014,6.0,1
Bresso,0.2825163586270233,2014,4.0,1
Bubbiano,0.1921947125472094,2014,5.0,0
Buccinasco,0.2219293034308629,2014,2.0,0
Buscate,0.24953095684803,2014,1.0,1
Bussero,0.2338924233661075,2014,1.0,0
Busto Garolfo,0.2394345671815797,2014,0.0,0
Calvignasco,0.2303182579564489,2014,1.0,0
Cambiago,0.2089373785682259,2014,3.0,0
Canegrate,0.2615433775363476,2014,2.0,1
Carpiano,0.2008895478131949,2014,4.0,0
Carugate,0.2218290691344583,2014,2.0,0
Casarile,0.1955403087478559,2014,4.0,0
Casorezzo,0.2193868184321644,2014,2.0,0
Cassano d'Adda,0.2390835579514824,2014,0.0,0
Cassina de' Pecchi,0.2340821184171377,2014,1.0,0
