Comune,Cardio_incidence,Year,Multiplicator,Label
Vermezzo con Zelo,0.1967385586533403,2016,4.0,0
Vernate,0.2095754290876242,2016,3.0,0
Vignate,0.2373410902822667,2016,0.0,0
Villa Cortese,0.2575148689921234,2016,2.0,1
Vimodrone,0.2427264679846562,2016,0.0,1
Vittuone,0.2395774167897307,2016,0.0,0
Vizzolo Predabissi,0.2699261522790934,2016,3.0,1
Zibido San Giacomo,0.2133550488599348,2016,3.0,0
San Siro Baggio Trenno,0.2435200185142328,2016,0.0,1
Barona Lorenteggio,0.2544574511468702,2016,1.0,1
Centro Storico,0.1930401339867254,2016,5.0,0
Città Studi Lambrate,0.2279146304269187,2016,1.0,0
Fiera Gallaratese Quarto Oggiaro,0.2462439535150051,2016,1.0,1
Stazione Centrale Bicocca,0.2064890923815657,2016,3.0,0
Stazione Garibaldi Niguarda,0.2241474325726141,2016,2.0,0
Vigentino Chiaravalle Gratosoglio,0.2368473984439742,2016,0.0,0
Vittoria Forlanini,0.2344356132880122,2016,1.0,0
