Comune,Neuro_incidence,Year,Multiplicator,Label
Villa Cortese,0.0165995165189363,2013,0.0,1
Vimodrone,0.0138504155124653,2013,0.0,0
Vittuone,0.0139805390895872,2013,0.0,0
Vizzolo Predabissi,0.0144963759060234,2013,0.0,0
Zibido San Giacomo,0.0137951716899085,2013,0.0,0
San Siro Baggio Trenno,0.0188648303570905,2013,0.0,1
Barona Lorenteggio,0.0192782895973785,2013,0.0,1
Centro Storico,0.0160966840207417,2013,0.0,1
Città Studi Lambrate,0.0161109772859308,2013,0.0,1
Fiera Gallaratese Quarto Oggiaro,0.0191692411051086,2013,0.0,1
Stazione Centrale Bicocca,0.0145300597143641,2013,0.0,0
Stazione Garibaldi Niguarda,0.0162280967516263,2013,0.0,1
Vigentino Chiaravalle Gratosoglio,0.0163903952930146,2013,0.0,1
Vittoria Forlanini,0.0187213676963632,2013,0.0,1
Abbiategrasso,0.0169887780548628,2014,0.0,1
Albairate,0.0133701188455008,2014,0.0,0
Arconate,0.0140802422407267,2014,0.0,0
Arese,0.0144421272158498,2014,0.0,0
Arluno,0.0188823031329381,2014,0.0,1
Assago,0.0130548302872062,2014,0.0,0
Baranzate,0.0108744094839112,2014,0.0,0
Bareggio,0.0146107646107646,2014,0.0,0
Basiano,0.0125683060109289,2014,0.0,0
Basiglio,0.0096675936961991,2014,1.0,0
Bellinzago Lombardo,0.0118709677419354,2014,0.0,0
Bernate Ticino,0.0162654521795705,2014,0.0,1
Besate,0.0196548418024928,2014,0.0,1
Binasco,0.0192066805845511,2014,0.0,1
Boffalora sopra Ticino,0.0162031438935912,2014,0.0,1
Bollate,0.0175020334894679,2014,0.0,1
Bresso,0.019247694485899,2014,0.0,1
Bubbiano,0.0167855644146034,2014,0.0,1
Buccinasco,0.0130328234070993,2014,0.0,0
Buscate,0.0160516989785282,2014,0.0,1
Bussero,0.0150375939849624,2014,0.0,0
Busto Garolfo,0.0147187408918682,2014,0.0,0
Calvignasco,0.0217755443886097,2014,1.0,1
Cambiago,0.0130025407263488,2014,0.0,0
Canegrate,0.0165361878894392,2014,0.0,1
Carpiano,0.0145787002718062,2014,0.0,0
Carugate,0.0129286880783886,2014,0.0,0
Casarile,0.0120068610634648,2014,0.0,0
Casorezzo,0.0141362217734532,2014,0.0,0
Cassano d'Adda,0.0142318059299191,2014,0.0,0
Cassina de' Pecchi,0.0137607854805117,2014,0.0,0
Cassinetta di Lugagnano,0.0136842105263157,2014,0.0,0
Castano Primo,0.0144174800752216,2014,0.0,0
Cernusco sul Naviglio,0.0167822640574684,2014,0.0,1
Cerro Maggiore,0.0136241566778017,2014,0.0,0
Cerro al Lambro,0.0113636363636363,2014,0.0,0
Cesano Boscone,0.0165703925454315,2014,0.0,1
Cesate,0.0143414980475683,2014,0.0,0
Cinisello Balsamo,0.0166409193159335,2014,0.0,1
Cisliano,0.0124064171122994,2014,0.0,0
Cologno Monzese,0.0185397310254125,2014,0.0,1
Colturano,0.0136518771331058,2014,0.0,0
Corbetta,0.0151858192059197,2014,0.0,0
Cormano,0.0157122387469736,2014,0.0,1
Cornaredo,0.0142671205446535,2014,0.0,0
Corsico,0.0177205691361944,2014,0.0,1
