IdSensore,NomeTipoSensore,Year2015,Year2016,Year2017
5504,Biossido di Azoto,75.26830197391205,66.99965393932403,64.38819711538463
5506,Biossido di Azoto,67.1565587944664,51.70287710158655,53.2
5507,Biossido di Azoto,60.002450482478416,42.909536348025185,55.65502628644256
5508,Biossido di Azoto,39.30158562367865,38.114639743001376,54.5
5511,Biossido di Azoto,24.758916256157633,26.547022246787343,23.375064488392088
5513,Biossido di Azoto,42.02275079285595,33.926761371789354,85.5
5514,Biossido di Azoto,38.4322502129731,44.949691393967626,48.4
5516,Biossido di Azoto,31.820976571053208,39.49096676320507,45.918215699976706
5517,Biossido di Azoto,51.60629954699887,44.33924514474167,23.435745313214447
5518,Biossido di Azoto,52.77880020335536,44.21114137837102,79.3
5519,Biossido di Azoto,25.653265060240965,24.6048786407767,46.3
5520,Biossido di Azoto,23.641490741832765,21.889553186087838,48.10760145012279
5528,Biossido di Azoto,53.24861049845611,45.7360624704212,60.92990764859105
5530,Biossido di Azoto,21.067469172049325,22.497624703087887,48.515238707603274
5531,Biossido di Azoto,47.75346428571428,47.64449583718778,25.9
5532,Biossido di Azoto,50.948850260060226,55.62574211502783,52.0
5534,Biossido di Azoto,41.650705910504904,46.34524696550895,72.1
5535,Biossido di Azoto,26.855695247674127,19.334416686878487,75.2
5538,Biossido di Azoto,30.136262686567164,31.56136059877038,55.91854304635761
5539,Biossido di Azoto,46.676752136752135,44.84894538821115,68.7
5541,Biossido di Azoto,53.213739565943236,40.27607063403782,48.45006968641115
5542,Biossido di Azoto,67.5329614721104,58.20536220675432,28.689037788240974
5543,Biossido di Azoto,31.555333071587487,37.63522123893805,41.906907969856135
5547,Biossido di Azoto,47.44688696095943,44.82688685168906,105.7
5548,Biossido di Azoto,22.656088262476896,24.996363636363636,54.11175645670211
5549,Biossido di Azoto,34.744756312389896,33.68581787922016,49.8
5550,Biossido di Azoto,42.4144229449705,40.01254780114723,23.909993618379065
5551,Biossido di Azoto,57.246385542168674,55.79727827311122,50.9
5552,Biossido di Azoto,36.87068689110865,32.03556753980483,47.15900547580287
5554,Biossido di Azoto,19.89546952224053,23.61432854465959,46.19267999036841
5605,Biossido di Azoto,35.64747437322465,31.4367498854787,44.52314803697923
5609,Biossido di Azoto,45.03740249076228,39.794841372194995,
9999,Biossido di Azoto,37.492912655144416,48.86033604887984,
10005,Biossido di Azoto,33.590648113325805,28.495293337752734,
10279,Biossido di Azoto,44.70884724857685,43.339594039054475,
